"","age_upon_outcome","animal_id","animal_type","breed","color","date_of_birth","datetime","monthyear","name","outcome_subtype","outcome_type","sex_upon_outcome","location_lat","location_long","age_upon_outcome_in_weeks"
"6783","5 months","A737825","Cat","Domestic Shorthair Mix","Brown Tabby",2016-07-08,2016-12-11 17:16:00,"2016-12-11T17:16:00","*Janice","","Adoption","Spayed Female",30.6189188954956,-97.605199476453,22.3884920634921
"6784","1 year","A763464","Dog","Labrador Retriever Mix","Black/Brown Brindle",2016-12-09,2017-12-18 17:12:00,"2017-12-18T17:12:00","*Wednesday","","Adoption","Spayed Female",30.5816240671952,-97.2697298392973,53.5309523809524
"6785","2 years","A693082","Dog","Pit Bull Mix","Brown/White",2012-12-01,2015-01-16 13:42:00,"2015-01-16T13:42:00","Diesel","Partner","Transfer","Neutered Male",30.4391609238591,-97.4160631284188,110.93869047619
"6786","8 years","A692482","Cat","Domestic Shorthair Mix","Blue Tabby",2006-11-21,2014-12-13 13:50:00,"2014-12-13T13:50:00","Sierra","","Adoption","Spayed Female",30.2804195888948,-97.6452602548148,420.65376984127
"6787","1 year","A674421","Dog","Siberian Husky/Labrador Retriever","Black/Brown Brindle",2013-03-12,2014-03-29 15:32:00,"2014-03-29T15:32:00","Nino","","Adoption","Neutered Male",30.4791338935853,-97.4650083067112,54.6638888888889
"6788","4 weeks","A706694","Cat","Domestic Shorthair Mix","Brown Tabby/White",2015-06-02,2015-07-02 11:16:00,"2015-07-02T11:16:00","","Suffering","Euthanasia","Unknown",30.6694414883505,-97.5838579060501,4.35277777777778
"6789","1 year","A716679","Dog","Chihuahua Shorthair/Basset Hound","White/Brown Brindle",2014-11-23,2015-11-30 13:58:00,"2015-11-30T13:58:00","Dog","Partner","Transfer","Intact Male",30.586447111682,-97.5789079405568,53.2259920634921
"6790","1 month","A698561","Dog","Labrador Retriever/Boxer","White/Cream",2015-03-11,2015-05-06 17:48:00,"2015-05-06T17:48:00","","","Adoption","Neutered Male",30.3205104953516,-97.3552506135311,8.10595238095238
"6791","3 years","A726646","Dog","Boxer Mix","Tan/White",2013-05-12,2016-05-15 12:34:00,"2016-05-15T12:34:00","Sadie","","Return to Owner","Intact Female",30.6942840747561,-97.4165161875037,157.074801587302
"6792","1 year","A685359","Other","Bat","Black/Brown",2013-08-06,2014-08-06 12:30:00,"2014-08-06T12:30:00","","Rabies Risk","Euthanasia","Unknown",30.4912430304591,-97.6684862651418,52.2172619047619
"6793","3 months","A676271","Cat","Domestic Shorthair Mix","Brown Tabby",2014-04-01,2014-07-12 17:49:00,"2014-07-12T17:49:00","","Foster","Adoption","Spayed Female",30.6799879358632,-97.4877757973762,14.6774801587302
"6794","3 years","A667798","Dog","Shih Tzu Mix","White/White",2010-11-23,2013-11-23 15:59:00,"2013-11-23T15:59:00","Henry Jones","Partner","Transfer","Neutered Male",30.3690409992791,-97.3015211467911,156.666567460317
"6795","2 years","A756415","Dog","Great Pyrenees Mix","White",2015-08-21,2017-08-28 18:55:00,"2017-08-28T18:55:00","Snowball","","Rto-Adopt","Neutered Male",30.7596369205362,-97.6059018940686,105.541170634921
"6796","1 year","A736334","Dog","Pit Bull Mix","Blue/White",2015-10-09,2016-10-09 18:50:00,"2016-10-09T18:50:00","Roxie","","Return to Owner","Intact Female",30.3897522591031,-97.579702790174,52.3978174603175
"6797","5 years","A668671","Cat","Domestic Shorthair Mix","Brown Tabby/White",2008-12-06,2013-12-16 14:57:00,"2013-12-16T14:57:00","Chris","Partner","Transfer","Neutered Male",30.5776238598744,-97.4350027462978,262.374702380952
"6798","2 years","A710140","Dog","Dachshund Longhair Mix","Tan",2013-08-18,2015-08-19 16:52:00,"2015-08-19T16:52:00","Angel","Partner","Transfer","Spayed Female",30.6097936665718,-97.3073096540701,104.528968253968
"6799","6 years","A523396","Dog","Labrador Retriever/Boxer","Brown/White",2008-07-26,2014-11-04 17:25:00,"2014-11-04T17:25:00","Star","Aggressive","Euthanasia","Spayed Female",30.6032613400465,-97.6452824360274,327.532242063492
"6800","1 month","A683155","Cat","Domestic Shorthair Mix","Brown Tabby",2014-06-07,2014-07-18 15:03:00,"2014-07-18T15:03:00","","Partner","Transfer","Intact Female",30.2925357567845,-97.3831198242386,5.94672619047619
"6801","2 months","A710546","Cat","Domestic Medium Hair Mix","Orange Tabby",2015-07-18,2015-10-09 12:55:00,"2015-10-09T12:55:00","*Jasper","Foster","Adoption","Neutered Male",30.4156658423182,-97.6883898512414,11.9340277777778
"6802","4 months","A707853","Cat","Domestic Shorthair Mix","Orange Tabby",2015-05-23,2015-10-01 12:39:00,"2015-10-01T12:39:00","*Mandarin","Partner","Transfer","Neutered Male",30.6712376801206,-97.2528178266361,18.7895833333333
"6803","9 years","A639939","Dog","Beauceron Mix","Black/Tan",2007-10-18,2017-07-16 12:52:00,"2017-07-16T12:52:00","Bo","","Return to Owner","Neutered Male",30.2872434681784,-97.6797165911461,508.505158730159
"6804","5 years","A643862","Dog","Beagle/Australian Cattle Dog","Red Tick/Brown",2010-06-17,2015-08-25 18:48:00,"2015-08-25T18:48:00","Brownie","","Return to Owner","Neutered Male",30.399266275771,-97.6843513996652,270.826190476191
"6805","12 years","A740234","Dog","Golden Retriever Mix","Cream/White",2004-12-13,2016-12-18 13:13:00,"2016-12-18T13:13:00","Max","","Return to Owner","Intact Male",30.3444644453344,-97.3351635743485,626.935813492064
"6806","2 months","A756803","Cat","Domestic Longhair Mix","Cream Tabby/White",2017-07-10,2017-09-29 12:40:00,"2017-09-29T12:40:00","","","Adoption","Neutered Male",30.5902066089807,-97.2470103380426,11.6468253968254
"6807","2 months","A717253","Dog","Border Collie Mix","Black/White",2015-10-04,2015-12-07 18:12:00,"2015-12-07T18:12:00","Oreo","","Adoption","Neutered Male",30.4833363718348,-97.6899460527399,9.25119047619048
"6808","3 months","A712240","Cat","Domestic Shorthair Mix","Black",2015-08-04,2015-11-14 13:09:00,"2015-11-14T13:09:00","*Carlisle","Foster","Adoption","Neutered Male",30.5671454569613,-97.5645712331778,14.6497023809524
"6809","8 months","A705489","Cat","Domestic Shorthair Mix","Black/White",2014-10-18,2015-06-19 09:00:00,"2015-06-19T09:00:00","","SCRP","Transfer","Unknown",30.4254341812974,-97.5290068669841,34.9107142857143
"6810","6 months","A758536","Cat","Domestic Shorthair Mix","Brown Tabby",2017-03-18,2017-09-23 11:09:00,"2017-09-23T11:09:00","","Snr","Transfer","Intact Female",30.629197188939,-97.5397344992329,27.066369047619
"6811","2 months","A728518","Dog","Anatol Shepherd/Labrador Retriever","Tan/White",2016-03-21,2016-06-11 00:00:00,"2016-06-11T00:00:00","*Violet","","Adoption","Spayed Female",30.506029138685,-97.7241379757295,11.7142857142857
"6812","10 years","A567057","Dog","Cardigan Welsh Corgi/Australian Shepherd","Tricolor",2005-02-24,2015-09-14 13:41:00,"2015-09-14T13:41:00","Rocky","Suffering","Euthanasia","Neutered Male",30.6022428947852,-97.7293799581302,550.652876984127
"6813","9 months","A696932","Dog","Border Collie Mix","White/Black",2014-07-14,2015-04-22 14:48:00,"2015-04-22T14:48:00","Coach","","Adoption","Spayed Female",30.326712823519,-97.4541189856131,40.3738095238095
"6814","2 months","A735993","Cat","Domestic Shorthair Mix","Blue Tabby",2016-08-18,2016-10-20 15:33:00,"2016-10-20T15:33:00","Jaime Lee","Partner","Transfer","Intact Male",30.6114602815199,-97.5374540830055,9.09255952380952
"6815","3 months","A722991","Dog","Pit Bull","Black Brindle/White",2016-02-27,2016-05-31 11:46:00,"2016-05-31T11:46:00","","Foster","Adoption","Neutered Male",30.5287124618736,-97.311031169802,13.4986111111111
"6816","2 years","A753489","Dog","Anatol Shepherd Mix","White/Brown",2015-07-07,2017-07-20 14:23:00,"2017-07-20T14:23:00","*Goofy","Partner","Transfer","Intact Male",30.4718193873758,-97.6579210531111,106.371329365079
"6817","2 months","A677041","Dog","Border Collie Mix","Black",2014-03-12,2014-05-26 18:07:00,"2014-05-26T18:07:00","*Avery","Foster","Adoption","Spayed Female",30.5860685672834,-97.384239137396,10.822123015873
"6818","2 weeks","A707962","Cat","Snowshoe Mix","Lynx Point",2015-07-05,2015-07-21 12:59:00,"2015-07-21T12:59:00","","Partner","Transfer","Unknown",30.3638803360248,-97.3010527906546,2.36299603174603
"6819","2 months","A685588","Cat","Domestic Shorthair Mix","Calico",2014-06-17,2014-08-31 13:44:00,"2014-08-31T13:44:00","Belle","","Adoption","Spayed Female",30.3480255345397,-97.6311476710132,10.7960317460317
"6820","2 months","A689049","Cat","Domestic Medium Hair","Blue Tabby/White",2014-08-19,2014-10-27 16:53:00,"2014-10-27T16:53:00","*Joanie","Partner","Transfer","Spayed Female",30.4946024399884,-97.5539602160838,9.95763888888889
"6821","9 months","A700953","Dog","Pit Bull Mix","Brown/White",2014-07-21,2015-04-29 14:39:00,"2015-04-29T14:39:00","Whiskey","Partner","Transfer","Intact Male",30.2975637735592,-97.2602909767842,40.3729166666667
"6822","1 year","A676375","Cat","Domestic Shorthair Mix","Black",2013-04-08,2014-04-10 14:33:00,"2014-04-10T14:33:00","Opal","SCRP","Transfer","Spayed Female",30.3921020009583,-97.7012183303829,52.5151785714286
"6823","2 years","A705299","Dog","Pit Bull Mix","Blue/White",2013-06-15,2015-11-26 09:33:00,"2015-11-26T09:33:00","Dexter","Aggressive","Euthanasia","Neutered Male",30.2852878456819,-97.2982055529324,127.771130952381
"6824","2 months","A702313","Cat","Domestic Shorthair Mix","Blue Tabby/White",2015-04-05,2015-06-20 14:53:00,"2015-06-20T14:53:00","*Harpo","","Adoption","Neutered Male",30.6096605854535,-97.2488943856184,10.9457341269841
"6825","2 weeks","A706098","Cat","Domestic Shorthair Mix","Orange Tabby/White",2015-06-09,2015-06-24 17:47:00,"2015-06-24T17:47:00","","Partner","Transfer","Unknown",30.3459397415286,-97.6997208295071,2.24871031746032
"6826","2 months","A725347","Cat","Domestic Shorthair Mix","Black/White",2016-03-28,2016-06-07 12:53:00,"2016-06-07T12:53:00","*Reeses","Foster","Adoption","Neutered Male",30.6186491780747,-97.6990715637547,10.2195436507937
"6827","1 year","A690866","Dog","Australian Cattle Dog Mix","White/Brown",2013-10-27,2014-10-31 15:09:00,"2014-10-31T15:09:00","Cassie","Partner","Transfer","Intact Female",30.67996165306,-97.2755345636769,52.8044642857143
"6828","2 months","A687374","Dog","Australian Cattle Dog Mix","Brown/White",2014-07-04,2014-09-08 18:25:00,"2014-09-08T18:25:00","Shiner","","Adoption","Neutered Male",30.3125757655271,-97.6567371666546,9.53819444444444
"6829","1 year","A683046","Dog","German Shorthair Pointer Mix","Liver/White",2013-07-06,2014-07-14 13:09:00,"2014-07-14T13:09:00","","Partner","Transfer","Neutered Male",30.4040486215311,-97.3064002408486,53.3639880952381
"6830","3 months","A707456","Cat","Domestic Longhair Mix","Blue",2015-05-29,2015-09-10 12:36:00,"2015-09-10T12:36:00","*Lara","Foster","Adoption","Spayed Female",30.4013874982842,-97.5780971261873,14.9321428571429
"6831","2 years","A730746","Other","Bat Mix","Brown",2014-07-09,2016-07-10 08:46:00,"2016-07-10T08:46:00","","Rabies Risk","Euthanasia","Unknown",30.5724474655108,-97.3603700562832,104.623611111111
"6832","9 months","A680650","Dog","Boxer/Boston Terrier","Brown/White",2013-08-09,2014-06-09 12:00:00,"2014-06-09T12:00:00","S'Mores","","Adoption","Intact Female",30.3989834049817,-97.6771161244542,43.5
"6833","3 days","A710953","Cat","Domestic Shorthair Mix","Torbie",2015-08-27,2015-08-30 16:56:00,"2015-08-30T16:56:00","","Partner","Transfer","Unknown",30.656862201134,-97.6417416556378,0.529365079365079
"6834","3 months","A688868","Dog","Pit Bull Mix","Brown Brindle",2014-06-25,2014-09-29 16:51:00,"2014-09-29T16:51:00","*Tony","Partner","Transfer","Neutered Male",30.5489899785328,-97.4374485613138,13.8145833333333
"6835","2 years","A652030","Dog","Labrador Retriever Mix","Black/White",2011-04-18,2013-11-01 15:09:00,"2013-11-01T15:09:00","*Billy Bob","Partner","Transfer","Neutered Male",30.5978779874877,-97.6912647268032,132.661607142857
"6836","1 year","A669244","Cat","Domestic Shorthair Mix","Blue",2012-12-17,2013-12-19 13:08:00,"2013-12-19T13:08:00","","SCRP","Transfer","Intact Female",30.6138343307273,-97.3375626707582,52.506746031746
"6837","3 months","A754467","Cat","Domestic Shorthair Mix","Orange Tabby",2017-04-21,2017-07-29 13:33:00,"2017-07-29T13:33:00","","","Adoption","Neutered Male",30.4288167413499,-97.5892271984362,14.2235119047619
"6838","2 years","A753025","Cat","Domestic Shorthair Mix","Calico",2015-06-30,2017-07-04 10:56:00,"2017-07-04T10:56:00","","Snr","Transfer","Intact Female",30.4032383256841,-97.3845782017061,105.065079365079
"6839","4 years","A697717","Dog","Chow Chow/German Shepherd","Black/Brown",2011-02-27,2015-03-13 12:20:00,"2015-03-13T12:20:00","*Teddy","","Adoption","Neutered Male",30.6550832029784,-97.4561004976351,210.787698412698
"6840","1 year","A715460","Cat","Domestic Shorthair Mix","Brown Tabby/White",2014-05-04,2015-11-30 18:10:00,"2015-11-30T18:10:00","Spock","","Adoption","Neutered Male",30.5903524018577,-97.408698984518,82.2509920634921
"6841","5 years","A621306","Dog","German Shepherd","Sable",2009-03-06,2014-11-23 16:59:00,"2014-11-23T16:59:00","Django","","Return to Owner","Neutered Male",30.3171725872513,-97.6929916808957,298.386805555556
"6842","2 years","A714339","Dog","Chihuahua Shorthair Mix","Tan/White",2013-10-21,2016-01-13 09:19:00,"2016-01-13T09:19:00","*Ernie","In Foster","Missing","Neutered Male",30.3720240701344,-97.4460437375966,116.341170634921
"6843","2 years","A667570","Other","Raccoon Mix","Gray/Black",2011-11-20,2013-11-20 11:33:00,"2013-11-20T11:33:00","","Medical","Euthanasia","Unknown",30.4692543388002,-97.3459673107763,104.497321428571
"6844","1 year","A684048","Dog","Miniature Poodle Mix","Tan",2013-07-25,2014-07-27 17:42:00,"2014-07-27T17:42:00","Daisy","","Return to Owner","Spayed Female",30.3270542542341,-97.5796824801965,52.5339285714286
"6845","2 months","A727511","Dog","Pit Bull Mix","White",2016-04-14,2016-06-20 11:00:00,"2016-06-20T11:00:00","Lady","Foster","Adoption","Spayed Female",30.4903592441906,-97.3418569016904,9.63690476190476
"6846","1 year","A672483","Dog","Pit Bull Mix","Tan/White",2013-07-11,2014-08-26 15:05:00,"2014-08-26T15:05:00","Bones","","Adoption","Neutered Male",30.3500506675104,-97.3408621322133,58.8040674603175
"6847","2 years","A702299","Cat","Domestic Shorthair Mix","Cream Tabby",2013-05-12,2015-08-20 16:20:00,"2015-08-20T16:20:00","*Dreamsicle","","Adoption","Neutered Male",30.5342897212675,-97.6665325074904,118.668650793651
"6848","2 months","A666891","Cat","Siamese Mix","Seal Point",2013-08-24,2013-11-12 18:29:00,"2013-11-12T18:29:00","","","Adoption","Spayed Female",30.3556496737106,-97.4370794876472,11.5385912698413
"6849","7 years","A536506","Dog","Yorkshire Terrier/Border Terrier","Black/Tan",2007-03-07,2014-04-26 18:46:00,"2014-04-26T18:46:00","Bea","","Adoption","Spayed Female",30.4070901029014,-97.3967819018332,372.540277777778
"6850","2 years","A735008","Other","Bat Mix","Brown",2014-09-17,2016-09-18 08:59:00,"2016-09-18T08:59:00","","Rabies Risk","Euthanasia","Unknown",30.7580745171001,-97.6956954147683,104.624900793651
"6851","3 months","A691710","Cat","Domestic Shorthair Mix","Brown Tabby/White",2014-08-08,2014-11-09 09:00:00,"2014-11-09T09:00:00","","SCRP","Transfer","Intact Female",30.3960281871359,-97.4208939466761,13.3392857142857
"6852","6 years","A613370","Dog","Pointer Mix","White/Brown",2011-04-03,2017-06-19 16:45:00,"2017-06-19T16:45:00","Jack","Partner","Transfer","Neutered Male",30.4451515823989,-97.4806256603461,324.24255952381
"6853","3 years","A732971","Other","Bat Mix","Black",2013-08-15,2016-08-16 09:02:00,"2016-08-16T09:02:00","","Rabies Risk","Euthanasia","Unknown",30.6842418111556,-97.636228060415,156.768055555556
"6854","2 years","A677798","Cat","Domestic Shorthair Mix","Black/White",2013-10-29,2016-04-06 00:00:00,"2016-04-06T00:00:00","Happy","Partner","Transfer","Spayed Female",30.5880558707702,-97.351076838166,127.142857142857
"6855","1 month","A685615","Dog","Chihuahua Shorthair Mix","Brown",2014-06-09,2014-08-09 18:53:00,"2014-08-09T18:53:00","Peaches","Partner","Transfer","Intact Female",30.4719491711189,-97.4047218738117,8.82668650793651
"6856","2 weeks","A752404","Cat","Domestic Medium Hair Mix","Torbie",2017-06-04,2017-06-22 12:08:00,"2017-06-22T12:08:00","","Partner","Transfer","Intact Male",30.4172432955694,-97.6187906816823,2.64365079365079
"6857","2 years","A732390","Cat","Domestic Shorthair Mix","Calico",2014-08-06,2016-09-27 14:53:00,"2016-09-27T14:53:00","*Francine","Partner","Transfer","Spayed Female",30.713442454739,-97.3130981532163,111.945734126984
"6858","2 months","A756293","Cat","Domestic Shorthair Mix","Black",2017-06-17,2017-08-22 12:30:00,"2017-08-22T12:30:00","*Ronald","Partner","Transfer","Intact Male",30.4953637773469,-97.727587725627,9.50297619047619
"6859","1 year","A730840","Dog","Beagle Mix","White",2015-07-11,2017-03-28 19:25:00,"2017-03-28T19:25:00","Fido","","Return to Owner","Neutered Male",30.6242733172199,-97.5549061551055,89.5441468253968
"6860","12 years","A686201","Dog","Rat Terrier Mix","Black/White",2004-08-18,2016-09-05 14:48:00,"2016-09-05T14:48:00","Chicharro","","Return to Owner","Intact Male",30.5800569115467,-97.5241399043538,628.802380952381
"6861","1 week","A690449","Cat","Domestic Shorthair Mix","Orange Tabby/White",2014-10-14,2014-10-21 12:57:00,"2014-10-21T12:57:00","","Partner","Transfer","Intact Female",30.44250187931,-97.3662773873462,1.07708333333333
"6862","1 year","A735601","Dog","Labrador Retriever Mix","Black",2015-09-26,2016-12-24 00:00:00,"2016-12-24T00:00:00","Olivia","","Return to Owner","Spayed Female",30.3495416454107,-97.3528458871502,65
"6863","6 years","A673455","Dog","Australian Cattle Dog/Treeing Walker Coonhound","Blue Merle",2008-02-24,2014-02-25 12:31:00,"2014-02-25T12:31:00","Ace","","Return to Owner","Neutered Male",30.6889100714023,-97.3166032946268,313.360218253968
"6864","2 months","A702125","Cat","Domestic Shorthair Mix","Orange Tabby",2015-04-17,2015-07-11 15:43:00,"2015-07-11T15:43:00","Cody","","Adoption","Neutered Male",30.3982614290893,-97.7108233971778,12.2364087301587
"6865","2 years","A667291","Cat","Domestic Medium Hair Mix","Calico",2011-11-15,2013-11-18 15:37:00,"2013-11-18T15:37:00","","SCRP","Transfer","Intact Female",30.6743904966162,-97.4443445906216,104.950099206349
"6866","2 months","A758381","Cat","Domestic Shorthair Mix","Brown Tabby/White",2017-06-30,2017-09-19 16:27:00,"2017-09-19T16:27:00","","","Adoption","Neutered Male",30.5548342979054,-97.2655616920444,11.6693452380952
"6867","1 year","A696721","Cat","Domestic Shorthair Mix","Blue",2014-02-10,2015-02-10 16:41:00,"2015-02-10T16:41:00","","Suffering","Euthanasia","Intact Male",30.7433005663264,-97.5199807626382,52.2421626984127
"6868","3 months","A719215","Cat","Domestic Shorthair Mix","Black",2015-10-15,2016-01-25 14:09:00,"2016-01-25T14:09:00","Cariño","Partner","Transfer","Spayed Female",30.5226072148664,-97.285192929422,14.6556547619048
"6869","1 year","A753132","Dog","Pit Bull Mix","Blue/White",2016-07-02,2017-07-06 17:26:00,"2017-07-06T17:26:00","Lucy","","Adoption","Spayed Female",30.5482906607822,-97.2742180492138,52.8180555555556
"6870","8 years","A663918","Cat","Domestic Longhair Mix","Black/White",2005-09-26,2013-10-15 13:07:00,"2013-10-15T13:07:00","Maggie","Partner","Transfer","Spayed Female",30.4347478356825,-97.6205541846953,420.220932539683
"6871","1 year","A719197","Dog","Pit Bull Mix","Fawn",2014-07-15,2016-02-05 17:44:00,"2016-02-05T17:44:00","Rocky","Partner","Transfer","Neutered Male",30.324717179175,-97.6315448474817,81.534126984127
"6872","2 years","A672838","Cat","Domestic Shorthair Mix","Black",2012-02-17,2014-02-18 16:07:00,"2014-02-18T16:07:00","","SCRP","Transfer","Intact Female",30.2847709459446,-97.2878912961283,104.667361111111
"6873","1 month","A682577","Dog","Miniature Poodle Mix","Black/White",2014-06-16,2014-07-23 16:02:00,"2014-07-23T16:02:00","","Partner","Transfer","Intact Female",30.6861931275804,-97.5159840234809,5.38115079365079
"6874","1 week","A713431","Cat","Domestic Shorthair Mix","Black",2015-09-29,2015-10-06 19:11:00,"2015-10-06T19:11:00","","Partner","Transfer","Unknown",30.5757221704521,-97.6606926268698,1.11418650793651
"6875","2 years","A750374","Dog","West Highland/Miniature Poodle","White",2015-05-26,2017-05-30 16:30:00,"2017-05-30T16:30:00","Riley","","Adoption","Neutered Male",30.6912445438574,-97.3612325978861,105.098214285714
"6876","2 months","A720127","Dog","Australian Cattle Dog/Boxer","Black/White",2016-01-31,2016-04-06 14:29:00,"2016-04-06T14:29:00","*Matilda","","Adoption","Spayed Female",30.4580777358122,-97.6080007928133,9.51478174603175
"6877","4 years","A674847","Dog","Pit Bull Mix","Brown",2010-03-19,2014-03-24 17:58:00,"2014-03-24T17:58:00","Chichio","","Return to Owner","Neutered Male",30.6469898230575,-97.5102796554459,209.535515873016
"6878","4 months","A758102","Cat","Domestic Shorthair Mix","Brown Tabby/Tortie",2017-05-11,2017-09-16 11:38:00,"2017-09-16T11:38:00","Jojo","Offsite","Adoption","Spayed Female",30.4589985797643,-97.3820695807589,18.3549603174603
"6879","2 months","A681463","Cat","Domestic Shorthair Mix","Calico",2014-04-17,2014-06-23 16:47:00,"2014-06-23T16:47:00","Weezy","Partner","Transfer","Intact Female",30.6982716525753,-97.6174607078261,9.67132936507937
"6880","1 year","A729260","Dog","Pit Bull Mix","Tan/White",2015-12-15,2017-05-22 14:08:00,"2017-05-22T14:08:00","*Buttercup","","Rto-Adopt","Spayed Female",30.4539500649127,-97.4580523181758,74.9412698412698
"6881","3 years","A673365","Dog","Bull Terrier","Black/White",2011-02-26,2014-02-26 16:19:00,"2014-02-26T16:19:00","Taz","","Return to Owner","Spayed Female",30.4956610257195,-97.2907375703492,156.668551587302
"6882","1 year","A714195","Dog","Chihuahua Shorthair Mix","Tan/White",2014-10-19,2015-10-20 19:01:00,"2015-10-20T19:01:00","Sandy","","Adoption","Spayed Female",30.6284094926778,-97.6319848643849,52.3989087301587
"6883","1 week","A732675","Cat","Domestic Shorthair Mix","Torbie",2016-08-04,2016-08-11 18:17:00,"2016-08-11T18:17:00","","Partner","Transfer","Unknown",30.6319245796581,-97.722513624951,1.10882936507937
"6884","1 year","A649481","Dog","Catahoula Mix","Brown Brindle/White",2012-05-16,2013-11-18 18:54:00,"2013-11-18T18:54:00","Rizer","","Adoption","Neutered Male",30.3715574502291,-97.4054464392956,78.8267857142857
"6885","1 year","A739440","Cat","Domestic Shorthair Mix","Torbie",2015-12-03,2016-12-10 15:10:00,"2016-12-10T15:10:00","*Simone","","Adoption","Spayed Female",30.5779366574145,-97.5076588038388,53.3759920634921
"6886","1 month","A741278","Cat","Domestic Medium Hair Mix","Black/White",2016-11-19,2017-01-03 16:58:00,"2017-01-03T16:58:00","*Benji","","Adoption","Intact Male",30.349380924013,-97.4177318573073,6.52956349206349
"6887","2 months","A754612","Cat","Domestic Shorthair Mix","Brown Tabby",2017-05-26,2017-08-18 13:05:00,"2017-08-18T13:05:00","*Brody","Partner","Transfer","Intact Male",30.697881904002,-97.332251716157,12.077876984127
"6888","2 years","A707974","Cat","Domestic Shorthair Mix","Blue",2013-07-20,2015-09-08 20:03:00,"2015-09-08T20:03:00","*Cleopatra","SCRP","Transfer","Intact Female",30.3431662061447,-97.5203719347955,111.547916666667
"6889","5 months","A692609","Cat","Domestic Shorthair Mix","Black/White",2014-06-23,2014-11-24 09:00:00,"2014-11-24T09:00:00","","SCRP","Transfer","Intact Female",30.4455072737015,-97.6161807971215,22.0535714285714
"6890","4 years","A668781","Dog","American Pit Bull Terrier Mix","Brown/White",2009-12-12,2013-12-17 16:40:00,"2013-12-17T16:40:00","Coco","","Return to Owner","Spayed Female",30.3560798813261,-97.6351812976466,209.527777777778
"6891","1 year","A738078","Other","Raccoon Mix","Gray/Black",2015-11-09,2016-11-09 12:28:00,"2016-11-09T12:28:00","","Medical","Euthanasia","Unknown",30.5314766690815,-97.7380241940965,52.3599206349206
"6892","1 year","A701956","Cat","Domestic Shorthair Mix","Brown Tabby",2014-09-06,2015-10-18 17:07:00,"2015-10-18T17:07:00","*Davis","","Adoption","Spayed Female",30.5465534251202,-97.6985783084324,58.2447420634921
"6893","2 years","A763706","Dog","German Shorthair Pointer Mix","White/Brown",2015-12-14,2017-12-22 18:02:00,"2017-12-22T18:02:00","*Winter","","Adoption","Spayed Female",30.7030823089878,-97.5923959770119,105.67876984127
"6894","2 years","A688160","Dog","American Staffordshire Terrier Mix","Brown/Black",2012-09-15,2014-10-01 18:15:00,"2014-10-01T18:15:00","*Freddie","Aggressive","Euthanasia","Intact Male",30.5343395707596,-97.3555680884621,106.68005952381
"6895","1 year","A745450","Dog","Labrador Retriever Mix","Black/White",2016-01-18,2017-05-09 00:00:00,"2017-05-09T00:00:00","Jack","Partner","Transfer","Neutered Male",30.7139940835142,-97.3757123234719,68.1428571428571
"6896","1 day","A675868","Cat","Domestic Shorthair Mix","Blue Cream",2014-03-31,2014-04-01 18:47:00,"2014-04-01T18:47:00","","Partner","Transfer","Intact Female",30.3570610478085,-97.3963412940258,0.254662698412698
"6897","4 weeks","A703241","Cat","Domestic Shorthair Mix","Black",2015-04-22,2015-05-22 14:21:00,"2015-05-22T14:21:00","","Partner","Transfer","Intact Female",30.576882695979,-97.2699620470847,4.37113095238095
"6898","2 years","A707579","Dog","Pit Bull Mix","Brown/White",2014-07-15,2016-11-26 15:33:00,"2016-11-26T15:33:00","Honey","","Adoption","Spayed Female",30.6885691448031,-97.3149194840891,123.663988095238
"6899","2 weeks","A678387","Cat","Domestic Medium Hair Mix","Orange Tabby",2014-04-20,2014-05-08 18:36:00,"2014-05-08T18:36:00","","Partner","Transfer","Intact Male",30.4542521124354,-97.5547415227727,2.68214285714286
"6900","4 weeks","A753723","Other","Opossum Mix","Gray/Pink",2017-06-10,2017-07-10 13:59:00,"2017-07-10T13:59:00","","Partner","Transfer","Unknown",30.6508361615401,-97.4575295791065,4.36894841269841
"6901","1 month","A711835","Dog","German Shepherd Mix","Black/Brown",2015-07-21,2015-09-17 09:29:00,"2015-09-17T09:29:00","*Josef","Partner","Transfer","Intact Male",30.4825099733269,-97.6610994667008,8.3421626984127
"6902","1 weeks","A744765","Other","Opossum","Pink",2017-02-26,2017-03-07 13:31:00,"2017-03-07T13:31:00","","","Euthanasia","Unknown",30.3264353050247,-97.5377655938245,1.36617063492063
"6903","2 years","A707234","Dog","Boxer Mix","Red/White",2013-07-10,2015-07-15 18:42:00,"2015-07-15T18:42:00","Gina","","Adoption","Spayed Female",30.5300349032704,-97.2607794451555,105.11130952381
"6904","1 year","A745047","Other","Bat Mix","Brown",2016-03-12,2017-03-12 07:54:00,"2017-03-12T07:54:00","","Rabies Risk","Euthanasia","Unknown",30.4968803342425,-97.5164477972638,52.189880952381
"6905","1 year","A715528","Dog","Staffordshire Mix","Brown/White",2015-01-05,2016-01-12 14:27:00,"2016-01-12T14:27:00","Mia","","Adoption","Spayed Female",30.6004484546985,-97.3356978111856,53.228869047619
"6906","10 months","A750838","Dog","St. Bernard Smooth Coat Mix","Tricolor",2016-08-01,2017-06-05 16:56:00,"2017-06-05T16:56:00","","Partner","Transfer","Spayed Female",30.5440619769909,-97.7218586113022,44.1007936507936
